12865426 375 375 12865426 "Proteomic analysis of the mouse liver mitochondrial inner membrane." 2003 "The Journal of biological chemistry" 0 0 375 0 375 0 0 0 0 "GO:0005743" "mitochondrial inner membrane" "IDA" 375 
12938931 328 328 12938931 "Proteomic study of the Arabidopsis thaliana chloroplastic envelope membrane utilizing alternatives to traditional two-dimensional electrophoresis." 2003 "Journal of proteome research" 0 0 328 0 328 0 0 0 0 "GO:0009941" "chloroplast envelope" "IDA" 328 
14532352 735 735 14532352 "Comprehensive proteomic profiling of the membrane constituents of a Mycobacterium tuberculosis strain." 2003 "Molecular & cellular proteomics : MCP" 0 0 735 0 735 0 0 0 0 "GO:0005886" "plasma membrane" "IDA" 735 
14576278 503 503 14576278 "The proteome of Saccharomyces cerevisiae mitochondria." 2003 "Proceedings of the National Academy of Sciences of the United States of America" 0 0 503 0 503 0 0 0 0 "GO:0005739" "mitochondrion" "IDA" 503 
14651853 1186 1213 14651853 "Integrated analysis of protein composition, tissue diversity, and gene regulation in mouse mitochondria." 2003 "Cell" 0 0 1213 0 1213 0 0 0 0 "GO:0005739" "mitochondrion" "IDA" 1213 
14671022 392 392 14671022 "Experimental analysis of the Arabidopsis mitochondrial proteome highlights signaling and regulatory components, provides assessment of targeting prediction programs, and indicates plant-specific mitochondrial proteins." 2004 "The Plant cell" 0 0 392 0 392 0 0 0 0 "GO:0005739" "mitochondrion" "IDA" 392 
15028209 634 634 15028209 "The Arabidopsis thaliana chloroplast proteome reveals pathway abundance and novel protein functions." 2004 "Current biology : CB" 0 0 634 0 634 0 0 0 0 "GO:0009507" "chloroplast" "IDA" 634 
15525680 1043 1365 15525680 "Mycobacterium tuberculosis functional network analysis by global subcellular protein profiling." 2005 "Molecular biology of the cell" 0 0 1365 0 1365 0 0 0 0 "GO:0005829" "cytosol" "IDA" 355 "GO:0005618" "cell wall" "IDA" 306 "GO:0005886" "plasma membrane" "IDA" 704 
15539469 380 380 15539469 "The vegetative vacuole proteome of Arabidopsis thaliana reveals predicted and unexpected proteins." 2004 "The Plant cell" 0 0 380 0 380 0 0 0 0 "GO:0005773" "vacuole" "IDA" 380 
16287169 241 263 16287169 "Arabidopsis cell wall proteome defined using multidimensional protein identification technology." 2006 "Proteomics" 0 0 263 0 263 0 0 0 0 "GO:0005618" "cell wall" "IDA" 160 "GO:0009505" "plant-type cell wall" "IDA" 103 
16429126 498 638 16429126 "Proteome survey reveals modularity of the yeast cell machinery." 2006 "Nature" 638 0 0 0 0 0 0 0 638 "GO:0005515" "protein binding" "IPI" 638 
16618929 430 513 16618929 "Mapping the Arabidopsis organelle proteome." 2006 "Proceedings of the National Academy of Sciences of the United States of America" 0 0 513 0 513 0 0 0 0 "GO:0005794" "Golgi apparatus" "IDA" 85 "GO:0005774" "vacuolar membrane" "IDA" 24 "GO:0005739" "mitochondrion" "IDA" 59 "GO:0009536" "plastid" "IDA" 59 "GO:0000325" "plant-type vacuole" "IDA" 24 "GO:0005783" "endoplasmic reticulum" "IDA" 174 "GO:0005886" "plasma membrane" "IDA" 88 
16823961 845 845 16823961 "Toward the complete yeast mitochondrial proteome: multidimensional separation techniques for mitochondrial proteomics." 2006 "Journal of proteome research" 0 0 845 0 845 0 0 0 0 "GO:0005739" "mitochondrion" "IDA" 845 
17151019 401 401 17151019 "A proteomics dissection of Arabidopsis thaliana vacuoles isolated from cell culture." 2007 "Molecular & cellular proteomics : MCP" 0 0 401 0 401 0 0 0 0 "GO:0005774" "vacuolar membrane" "IDA" 401 
17317660 1136 1136 17317660 "Quantitative phosphoproteomics of early elicitor signaling in Arabidopsis." 2007 "Molecular & cellular proteomics : MCP" 0 0 1136 0 1136 0 0 0 0 "GO:0005886" "plasma membrane" "IDA" 1136 
17432890 577 577 17432890 "Membrane proteomic analysis of Arabidopsis thaliana using alternative solubilization techniques." 2007 "Journal of proteome research" 0 0 577 0 577 0 0 0 0 "GO:0016020" "membrane" "IDA" 577 
